body..	589
cell.col=n	20460
cell.col=nn	96
cell.n=n	276
cell.n=nn	4711
cell.n=nnn	15569
cell.row=n	11321
cell.row=nn	9235
emph..	4172
fnote.ref=n	11788
fnote.ref=nn	476
folio..	2516
fref.ref=n	11444
fref.ref=nn	414
head..	589
header..	589
lb..	427922
meta.key=author	589
meta.key=authorFull	589
meta.key=day	589
meta.key=month	589
meta.key=page	589
meta.key=pid	589
meta.key=place	589
meta.key=rawdate	589
meta.key=rest	1
meta.key=seq	589
meta.key=status	589
meta.key=title	589
meta.key=year	589
meta.value=x	7069
para..	34932
pb.facs=n_nnn_nnnn	5865
pb.facs=nnn_nnn	3194
pb.facs=nnn_nnnn	1090
pb.n=n	111
pb.n=nn	1163
pb.n=nnn	8784
pb.n=nnnn	91
pb.tpl=n	10149
pb.vol=nn	10149
ref..	4117
remark..	22922
row.n=n	62
row.n=nn	1005
row.n=nnn	3483
row.row=n	2584
row.row=nn	1966
special..	1060
subhead..	102
super..	1013
table.n=n	9
table.n=nn	90
table.n=nnn	222
teiTrim..	589
und..	415
